# Parameters for CFA in order red, green, blue
# -35.0077	-44.1774	22.9231	20.9813	4.04281	-7.25622
# 25.6259	-16.6805	-39.6175	2.0237	16.2731	-4.55676
# 37.3915	32.2064	-50	-49.0131	25.8976	-3.4397
# Lambda	Red	Green	Blue
380	0.00468151	0.0116219	0.0198783
381	0.00469456	0.0118249	0.0205979
382	0.00470801	0.0120333	0.0213488
383	0.00472186	0.0122472	0.0221328
384	0.00473612	0.012467	0.0229512
385	0.00475079	0.0126927	0.0238058
386	0.00476588	0.0129245	0.0246982
387	0.00478141	0.0131627	0.0256303
388	0.00479738	0.0134074	0.026604
389	0.0048138	0.0136589	0.0276212
390	0.00483067	0.0139174	0.0286838
391	0.00484801	0.0141831	0.0297941
392	0.00486583	0.0144562	0.0309543
393	0.00488413	0.0147371	0.0321665
394	0.00490292	0.0150259	0.0334333
395	0.00492222	0.0153229	0.034757
396	0.00494203	0.0156285	0.0361401
397	0.00496236	0.0159428	0.0375853
398	0.00498322	0.0162663	0.0390953
399	0.00500463	0.0165991	0.0406728
400	0.0050266	0.0169417	0.0423207
401	0.00504913	0.0172944	0.0440417
402	0.00507224	0.0176574	0.045839
403	0.00509594	0.0180313	0.0477154
404	0.00512024	0.0184163	0.049674
405	0.00514515	0.0188128	0.0517178
406	0.00517069	0.0192213	0.0538498
407	0.00519688	0.0196422	0.0560731
408	0.00522371	0.0200759	0.0583906
409	0.00525121	0.0205228	0.0608052
410	0.0052794	0.0209835	0.0633199
411	0.00530828	0.0214584	0.0659374
412	0.00533787	0.021948	0.0686602
413	0.00536819	0.0224528	0.0714908
414	0.00539925	0.0229735	0.0744313
415	0.00543107	0.0235106	0.0774839
416	0.00546367	0.0240646	0.0806502
417	0.00549706	0.0246362	0.0839314
418	0.00553126	0.025226	0.0873287
419	0.00556629	0.0258347	0.0908426
420	0.00560217	0.026463	0.0944732
421	0.00563891	0.0271115	0.09822
422	0.00567655	0.027781	0.102082
423	0.00571509	0.0284723	0.106058
424	0.00575456	0.0291862	0.110145
425	0.00579499	0.0299235	0.114341
426	0.00583638	0.030685	0.118641
427	0.00587878	0.0314717	0.123042
428	0.0059222	0.0322844	0.127538
429	0.00596666	0.0331241	0.132123
430	0.0060122	0.0339918	0.136791
431	0.00605883	0.0348884	0.141532
432	0.00610659	0.0358151	0.14634
433	0.00615551	0.0367729	0.151204
434	0.00620561	0.037763	0.156114
435	0.00625692	0.0387865	0.161059
436	0.00630947	0.0398445	0.166028
437	0.0063633	0.0409384	0.171009
438	0.00641843	0.0420694	0.175987
439	0.00647491	0.0432387	0.18095
440	0.00653277	0.0444478	0.185884
441	0.00659204	0.045698	0.190774
442	0.00665276	0.0469908	0.195606
443	0.00671497	0.0483275	0.200365
444	0.00677871	0.0497097	0.205036
445	0.00684402	0.0511389	0.209604
446	0.00691094	0.0526166	0.214054
447	0.00697953	0.0541444	0.218372
448	0.00704982	0.055724	0.222543
449	0.00712186	0.057357	0.226553
450	0.0071957	0.059045	0.230389
451	0.00727139	0.0607897	0.234038
452	0.00734899	0.0625928	0.237486
453	0.00742855	0.0644561	0.240723
454	0.00751012	0.0663812	0.243738
455	0.00759377	0.0683698	0.246519
456	0.00767955	0.0704238	0.249058
457	0.00776753	0.0725447	0.251345
458	0.00785776	0.0747343	0.253373
459	0.00795033	0.0769942	0.255134
460	0.0080453	0.0793261	0.256624
461	0.00814274	0.0817315	0.257836
462	0.00824273	0.084212	0.258766
463	0.00834534	0.086769	0.259412
464	0.00845066	0.0894039	0.25977
465	0.00855877	0.092118	0.259839
466	0.00866975	0.0949125	0.25962
467	0.0087837	0.0977884	0.259112
468	0.00890071	0.100747	0.258316
469	0.00902089	0.103788	0.257237
470	0.00914432	0.106914	0.255876
471	0.00927111	0.110123	0.254238
472	0.00940138	0.113417	0.252329
473	0.00953524	0.116796	0.250155
474	0.00967281	0.120259	0.247723
475	0.0098142	0.123806	0.245041
476	0.00995955	0.127436	0.242118
477	0.010109	0.131148	0.238964
478	0.0102627	0.134941	0.23559
479	0.0104207	0.138814	0.232007
480	0.0105833	0.142764	0.228227
481	0.0107505	0.146789	0.224263
482	0.0109226	0.150886	0.220128
483	0.0110996	0.155053	0.215837
484	0.0112819	0.159287	0.211403
485	0.0114695	0.163583	0.206842
486	0.0116627	0.167937	0.202169
487	0.0118617	0.172345	0.197398
488	0.0120666	0.176803	0.192545
489	0.0122777	0.181305	0.187625
490	0.0124951	0.185844	0.182653
491	0.0127193	0.190417	0.177645
492	0.0129503	0.195016	0.172614
493	0.0131884	0.199634	0.167575
494	0.013434	0.204265	0.162542
495	0.0136872	0.208902	0.157527
496	0.0139485	0.213538	0.152543
497	0.014218	0.218164	0.147602
498	0.014496	0.222773	0.142714
499	0.014783	0.227356	0.13789
500	0.0150793	0.231907	0.133139
501	0.0153852	0.236415	0.128469
502	0.0157012	0.240874	0.123888
503	0.0160275	0.245275	0.119402
504	0.0163646	0.249608	0.115017
505	0.016713	0.253867	0.110738
506	0.017073	0.258042	0.10657
507	0.0174452	0.262126	0.102515
508	0.0178301	0.26611	0.0985757
509	0.0182281	0.269986	0.0947547
510	0.0186398	0.273746	0.0910529
511	0.0190657	0.277383	0.0874708
512	0.0195066	0.280889	0.0840085
513	0.0199628	0.284257	0.0806657
514	0.0204352	0.28748	0.0774412
515	0.0209243	0.290552	0.0743339
516	0.0214308	0.293465	0.0713421
517	0.0219556	0.296214	0.0684637
518	0.0224993	0.298793	0.0656965
519	0.0230628	0.301196	0.063038
520	0.0236469	0.303418	0.0604855
521	0.0242524	0.305454	0.0580362
522	0.0248803	0.307301	0.0556872
523	0.0255315	0.308952	0.0534353
524	0.0262071	0.310406	0.0512775
525	0.026908	0.311657	0.0492107
526	0.0276354	0.312703	0.0472316
527	0.0283903	0.313541	0.0453371
